,ols,ols__decile,ols__neutral,ols__neutral__decile,ridge,ridge__decile,ridge__neutral,ridge__neutral__decile,gbm,gbm__decile,gbm__neutral,gbm__neutral__decile,composite,composite__decile,composite__neutral,composite__neutral__decile
days,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
max_gross_without_return,0.0014003148911231177,0.003192723383319616,0.0011761257788367823,0.0029967703482240895,0.001401682764828994,0.003192723383319616,0.0011788411649815908,0.0029967703482240895,0.0013545353135054035,0.0033342364306669604,0.0013844583034775823,0.003477997594567968,0.0017308955615158576,0.0030830553536619672,0.0015158723549941145,0.0030830311647107203
traded_missing_execution_return_per_day,5.427162405064954e-06,4.397867964140202e-06,5.8949944920780586e-06,6.324982036755011e-06,5.42672053877223e-06,4.3980600480077235e-06,5.893169657773253e-06,6.3249358093050005e-06,6.790949034303479e-06,9.745533949550133e-06,7.125559825109794e-06,1.0372547541525905e-05,6.8823811974391136e-06,9.698625025367646e-06,6.634911369605188e-06,9.339624545155877e-06
traded_missing_execution_return_share,0.00010448587280867646,5.502795433315118e-05,0.0001025196981224675,7.465777670272499e-05,0.000104478220162424,5.502873776573659e-05,0.00010247723530147179,7.465913847852803e-05,0.00012007408027572817,0.00011803609755301023,0.00012856983435598785,0.00012678003447835634,0.00013520242793500016,0.00012443608829745896,0.00013003054673946823,0.00011935500029072491
gross_unknown_event_payoff_per_day,4.848431186922626e-07,1.6447012425820393e-07,3.9296929379472764e-07,1.0929015659615973e-07,4.84867575783332e-07,1.64479314776953e-07,3.93184229459557e-07,1.0929065883921593e-07,5.354909433518672e-07,5.950685014339239e-07,4.07921649001196e-07,3.765699940679908e-07,6.907290787464246e-07,1.037061189984822e-06,6.026132162299777e-07,9.205692719861648e-07
max_gross_unknown_event_payoff,0.0012193804435110403,0.0004136423625093829,0.00098831777389374,0.00027486474383934173,0.00121944195309508,0.00041366547666403676,0.0009888583370907859,0.00027486600698062806,0.001346759722529946,0.0014965972811063185,0.001025922947238008,0.000947073535080997,0.001737183633047258,0.0026082088928118274,0.001515572238818394,0.0023152317190452045
names_settled_unknown_payoff_total,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
gross_return_annualised_return,0.0009007984488476099,-0.000686334145619517,0.002573340036305291,0.005691859708669925,0.0009298993404175737,-0.0006857478557571229,0.002597023094958741,0.005709439195601162,0.006110015976644826,0.018190099653410518,0.0025808655186292918,0.012294595836737227,0.023223108234079644,0.03282190773319072,0.014034191891868926,0.02734357967599765
gross_return_annualised_volatility,0.07255404537856151,0.11023002581409365,0.03253313544118253,0.05231391962686531,0.07258943899258685,0.11025680085048481,0.0325223366631467,0.05229248612241431,0.034271698606179776,0.061838503064868926,0.02154773894215812,0.03243554503644607,0.08279035009910538,0.11456289797528074,0.04116030317138471,0.05844864027519698
gross_return_sharpe,0.012415550975104973,-0.006226381065872568,0.07909904782948748,0.10880201195528325,0.012810394367595804,-0.006219551542104332,0.07985352103871449,0.10918278358836542,0.17828167920288276,0.29415491565714336,0.11977430790104071,0.37904699375091294,0.28050501303932274,0.28649683547873167,0.3409642497877838,0.4678223402162027
gross_return_hit_rate,0.48986083499005967,0.49105367793240556,0.4834990059642147,0.48031809145129223,0.48986083499005967,0.49105367793240556,0.48389662027833,0.4815109343936382,0.4906560636182903,0.512127236580517,0.494234592445328,0.5168986083499006,0.531610337972167,0.5292246520874752,0.5355864811133201,0.5403578528827038
